IMAX,JMAX,KMAX
37,9,2
I,J,K,X,Y,Z
19,8,0,2.097,0.131,-0.023
20,8,0,2.241,0.079,-0.024
21,8,0,2.366,0.005,-0.026
22,8,0,2.473,-0.076,-0.027
23,8,0,2.567,-0.155,-0.028
24,8,0,2.654,-0.221,-0.029
25,8,0,2.739,-0.272,-0.031
26,8,0,2.824,-0.303,-0.032
27,8,0,2.91,-0.313,-0.033
28,8,0,2.996,-0.302,-0.034
29,8,0,3.081,-0.272,-0.035
30,8,0,3.166,-0.221,-0.037
31,8,0,3.253,-0.155,-0.038
32,8,0,3.347,-0.076,-0.039
33,8,0,3.454,0.005,-0.04
34,8,0,3.579,0.079,-0.042
35,8,0,3.723,0.131,-0.043
36,8,0,3.88,0.15,-0.044
0,0,1,0,-0.15,0
1,0,1,0.0858901,-0.16045,-0.001
2,0,1,0.170855,-0.191301,-0.002
3,0,1,0.255914,-0.242125,-0.004
4,0,1,0.34292,-0.308098,-0.005
5,0,1,0.43692,-0.387098,-0.006
6,0,1,0.543914,-0.468125,-0.007
7,0,1,0.668855,-0.542301,-0.009
8,0,1,0.81289,-0.59445,-0.01
9,0,1,0.97,-0.613,-0.011
10,0,1,1.12688,-0.593506,-0.012
11,0,1,1.27114,-0.542301,-0.013
12,0,1,1.39609,-0.468125,-0.015
13,0,1,1.50357,-0.386695,-0.016
14,0,1,1.59708,-0.308098,-0.017
15,0,1,1.68409,-0.242125,-0.018
16,0,1,1.76914,-0.191301,-0.02
17,0,1,1.85411,-0.16045,-0.021
18,0,1,1.94,-0.15,-0.022
19,0,1,2.02589,-0.160451,-0.023
20,0,1,2.11086,-0.191301,-0.024
21,0,1,2.19591,-0.242125,-0.026
22,0,1,2.28292,-0.308098,-0.027
23,0,1,2.37692,-0.387098,-0.028
24,0,1,2.48391,-0.468125,-0.029
25,0,1,2.60886,-0.5423,-0.031
26,0,1,2.75289,-0.594451,-0.032
27,0,1,2.91,-0.613,-0.033
28,0,1,3.06688,-0.593507,-0.034
29,0,1,3.21114,-0.542301,-0.035
30,0,1,3.33609,-0.468125,-0.037
31,0,1,3.44357,-0.386695,-0.038
32,0,1,3.53708,-0.308098,-0.039
33,0,1,3.62409,-0.242125,-0.04
34,0,1,3.70914,-0.1913,-0.042
35,0,1,3.79411,-0.160451,-0.043
36,0,1,3.88,-0.15,-0.044
0,1,1,0,-0.1125,0
1,1,1,0.0947788,-0.124019,-0.001
2,1,1,0.187123,-0.157513,-0.002
3,1,1,0.277175,-0.211234,-0.004
4,1,1,0.36668,-0.279086,-0.005
5,1,1,0.46068,-0.358086,-0.006
6,1,1,0.565175,-0.437234,-0.007
7,1,1,0.685123,-0.508513,-0.009
8,1,1,0.821779,-0.558019,-0.01
9,1,1,0.97,-0.5755,-0.011
10,1,1,1.11802,-0.557068,-0.012
11,1,1,1.25488,-0.508513,-0.013
12,1,1,1.37483,-0.437234,-0.015
13,1,1,1.47975,-0.357733,-0.016
14,1,1,1.57332,-0.279086,-0.017
15,1,1,1.66283,-0.211234,-0.018
16,1,1,1.75288,-0.157513,-0.02
17,1,1,1.84522,-0.124019,-0.021
18,1,1,1.94,-0.1125,-0.022
19,1,1,2.03478,-0.124019,-0.023
20,1,1,2.12712,-0.157513,-0.024
21,1,1,2.21717,-0.211234,-0.026
22,1,1,2.30668,-0.279086,-0.027
23,1,1,2.40068,-0.358086,-0.028
24,1,1,2.50517,-0.437234,-0.029
25,1,1,2.62512,-0.508513,-0.031
26,1,1,2.76178,-0.558019,-0.032
27,1,1,2.91,-0.5755,-0.033
28,1,1,3.05802,-0.557068,-0.034
29,1,1,3.19488,-0.508513,-0.035
30,1,1,3.31483,-0.437234,-0.037
31,1,1,3.41975,-0.357733,-0.038
32,1,1,3.51332,-0.279086,-0.039
33,1,1,3.60283,-0.211234,-0.04
34,1,1,3.69288,-0.157513,-0.042
35,1,1,3.78522,-0.124019,-0.043
36,1,1,3.88,-0.1125,-0.044
0,2,1,0,-0.075,0
1,2,1,0.103668,-0.0875879,-0.001
2,2,1,0.203391,-0.123725,-0.002
3,2,1,0.298435,-0.180344,-0.004
4,2,1,0.39044,-0.250074,-0.005
5,2,1,0.48444,-0.329074,-0.006
6,2,1,0.586435,-0.406344,-0.007
