     Y                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
           56  0.2761142E+03  0.3069876E+03  0.3379877E+03  0.3690165E+03  0.3999865E+03  0.4349105E+03  0.4699165E+03  0.5049009E+03  0.5397754E+03  0.5744598E+03  0.6088776E+03  0.6429505E+03  0.6765833E+03  0.7096233E+03  0.7688641E+03  0.8269147E+03  0.8842702E+03  0.9413195E+03
           57  0.2994687E+03  0.3312761E+03  0.3632396E+03  0.3952196E+03  0.4270256E+03  0.4608350E+03  0.4948919E+03  0.5290830E+03  0.5633089E+03  0.5974807E+03  0.6315177E+03  0.6653467E+03  0.6989045E+03  0.7321508E+03  0.7902746E+03  0.8476384E+03  0.9045719E+03  0.9614274E+03
           58  0.3215445E+03  0.3545122E+03  0.3876213E+03  0.4207153E+03  0.4536038E+03  0.4864571E+03  0.5197039E+03  0.5532228E+03  0.5869085E+03  0.6206672E+03  0.6544153E+03  0.6880832E+03  0.7216244E+03  0.7550429E+03  0.8121549E+03  0.8687208E+03  0.9250866E+03  0.9815594E+03
           59  0.3423532E+03  0.3766430E+03  0.4110601E+03  0.4454164E+03  0.4795244E+03  0.5116052E+03  0.5441880E+03  0.5771612E+03  0.6104200E+03  0.6438664E+03  0.6774114E+03  0.7109768E+03  0.7444985E+03  0.7779284E+03  0.8339211E+03  0.8896085E+03  0.9452890E+03  0.1001221E+04
           60  0.3618341E+03  0.3976086E+03  0.4334911E+03  0.4692667E+03  0.5047165E+03  0.5361573E+03  0.5682079E+03  0.6007600E+03  0.6337073E+03  0.6669473E+03  0.7003828E+03  0.7339235E+03  0.7674856E+03  0.8009876E+03  0.8557486E+03  0.9104810E+03  0.9653686E+03  0.1020618E+04
           61  0.3798828E+03  0.4172950E+03  0.4547747E+03  0.4921247E+03  0.5290630E+03  0.5599960E+03  0.5916410E+03  0.6238952E+03  0.6566504E+03  0.6897973E+03  0.7232294E+03  0.7568445E+03  0.7905451E+03  0.8242373E+03  0.8777424E+03  0.9314460E+03  0.9854373E+03  0.1039872E+04
           62  0.3966831E+03  0.4356849E+03  0.4748353E+03  0.5139096E+03  0.5524763E+03  0.5830157E+03  0.6143728E+03  0.6464528E+03  0.6791406E+03  0.7123164E+03  0.7458624E+03  0.7796652E+03  0.8136147E+03  0.8476028E+03  0.8998936E+03  0.9525044E+03  0.1005497E+04  0.1058985E+04
           63  0.4127922E+03  0.4528160E+03  0.4936248E+03  0.5345801E+03  0.5748806E+03  0.6051116E+03  0.6362875E+03  0.6683224E+03  0.7010769E+03  0.7344135E+03  0.7682017E+03  0.8023170E+03  0.8366396E+03  0.8710532E+03  0.9221116E+03  0.9735955E+03  0.1025528E+04  0.1077986E+04
           64  0.4246013E+03  0.4667208E+03  0.5094208E+03  0.5525991E+03  0.5965843E+03  0.6261585E+03  0.6572503E+03  0.6893933E+03  0.7223654E+03  0.7560062E+03  0.7901739E+03  0.8247350E+03  0.8595612E+03  0.8945305E+03  0.9443563E+03  0.9946885E+03  0.1045512E+04  0.1096869E+04
           65  0.4355756E+03  0.4792979E+03  0.5236905E+03  0.5688423E+03  0.6150172E+03  0.6455721E+03  0.6770764E+03  0.7095641E+03  0.7429251E+03  0.7770221E+03  0.8117138E+03  0.8468601E+03  0.8823238E+03  0.9179726E+03  0.9665634E+03  0.1015729E+04  0.1065407E+04  0.1115613E+04
           66  0.4477522E+03  0.4926178E+03  0.5387313E+03  0.5858600E+03  0.6332919E+03  0.6639959E+03  0.6958648E+03  0.7288073E+03  0.7626993E+03  0.7974004E+03  0.8327640E+03  0.8686417E+03  0.9048853E+03  0.9413467E+03  0.9887669E+03  0.1036755E+04  0.1085261E+04  0.1134278E+04
           67  0.4560971E+03  0.5022499E+03  0.5498385E+03  0.5989607E+03  0.6502387E+03  0.6812195E+03  0.7135424E+03  0.7470629E+03  0.7816279E+03  0.8170832E+03  0.8532720E+03  0.8900354E+03  0.9272144E+03  0.9646552E+03  0.1010917E+04  0.1057722E+04  0.1105044E+04  0.1152863E+04
           68  0.4637417E+03  0.5111745E+03  0.5601736E+03  0.6112499E+03  0.6658117E+03  0.6970921E+03  0.7300063E+03  0.7642537E+03  0.7996449E+03  0.8360118E+03  0.8731866E+03  0.9109980E+03  0.9492704E+03  0.9878243E+03  0.1032878E+04  0.1078502E+04  0.1124642E+04  0.1171271E+04
           69  0.4713488E+03  0.5198900E+03  0.5700726E+03  0.6225599E+03  0.6790542E+03  0.7113662E+03  0.7451468E+03  0.7803012E+03  0.8166823E+03  0.8541261E+03  0.8924575E+03  0.9314927E+03  0.9710393E+03  0.1010896E+04  0.1054707E+04  0.1099151E+04  0.1144114E+04  0.1189572E+04
           70  0.4794942E+03  0.5291845E+03  0.5805843E+03  0.6344615E+03  0.6910474E+03  0.7242094E+03  0.7589422E+03  0.7951430E+03  0.8326724E+03  0.8713635E+03  0.9110316E+03  0.9514796E+03  0.9924993E+03  0.1033873E+04  0.1076396E+04  0.1119654E+04  0.1163445E+04  0.1207755E+04
           71  0.4848990E+03  0.5348141E+03  0.5866538E+03  0.6414834E+03  0.7013838E+03  0.7355330E+03  0.7713186E+03  0.8086996E+03  0.8475380E+03  0.8876543E+03  0.9288492E+03  0.9709107E+03  0.1013614E+04  0.1056721E+04  0.1098078E+04  0.1140129E+04  0.1182731E+04  0.1225920E+04
           72  0.4901960E+03  0.5403248E+03  0.5925912E+03  0.6483546E+03  0.7102940E+03  0.7452946E+03  0.7821737E+03  0.8208685E+03  0.8611879E+03  0.9029192E+03  0.9458425E+03  0.9897307E+03  0.1034345E+04  0.1079434E+04  0.1119601E+04  0.1160425E+04  0.1201770E+04  0.1243595E+04
           73  0.4959393E+03  0.5459437E+03  0.5982324E+03  0.6543407E+03  0.7179911E+03  0.7532565E+03  0.7913182E+03  0.8315142E+03  0.8735172E+03  0.9170707E+03  0.9619358E+03  0.1007874E+04  0.1054633E+04  0.1101933E+04  0.1140978E+04  0.1180600E+04  0.1220720E+04  0.1261234E+04
           74  0.5001704E+03  0.5497691E+03  0.6016862E+03  0.6574598E+03  0.7210593E+03  0.7586588E+03  0.7984947E+03  0.8404944E+03  0.8844199E+03  0.9300185E+03  0.9770467E+03  0.1025266E+04  0.1074429E+04  0.1124253E+04  0.1162199E+04  0.1200635E+04  0.1239624E+04  0.1279236E+04
           75  0.5062530E+03  0.5551703E+03  0.6064315E+03  0.6615544E+03  0.7229938E+03  0.7620350E+03  0.8037044E+03  0.8477247E+03  0.8938060E+03  0.9416748E+03  0.9910856E+03  0.1041813E+04  0.1093632E+04  0.1146289E+04  0.1182845E+04  0.1219973E+04  0.1257690E+04  0.1296002E+04
           76  0.5104233E+03  0.5581915E+03  0.6081592E+03  0.6616580E+03  0.7222528E+03  0.7630621E+03  0.8068039E+03  0.8531040E+03  0.9015920E+03  0.9519578E+03  0.1003958E+04  0.1057398E+04  0.1112100E+04  0.1167869E+04  0.1202916E+04  0.1238675E+04  0.1275072E+04  0.1312098E+04
           77  0.5176043E+03  0.5631576E+03  0.6106351E+03  0.6610311E+03  0.7191294E+03  0.7615491E+03  0.8076242E+03  0.8565319E+03  0.9077132E+03  0.9608031E+03  0.1015575E+04  0.1071889E+04  0.1129650E+04  0.1188765E+04  0.1222365E+04  0.1256727E+04  0.1291757E+04  0.1327475E+04
           78  0.5216156E+03  0.5652667E+03  0.6106124E+03  0.6584124E+03  0.7115110E+03  0.7567036E+03  0.8058840E+03  0.8579308E+03  0.9121544E+03  0.9681861E+03  0.1025862E+04  0.1085143E+04  0.1146051E+04  0.1208631E+04  0.1240669E+04  0.1273503E+04  0.1307041E+04  0.1341334E+04
           79  0.5275821E+03  0.5680069E+03  0.6097095E+03  0.6529904E+03  0.6987469E+03  0.7480958E+03  0.8015110E+03  0.8573840E+03  0.9150154E+03  0.9741555E+03  0.1034788E+04  0.1097026E+04  0.1161053E+04  0.1227077E+04  0.1257359E+04  0.1288428E+04  0.1320232E+04  0.1352849E+04
           80  0.5350649E+03  0.5702424E+03  0.6060534E+03  0.6421690E+03  0.6778729E+03  0.7354577E+03  0.7948405E+03  0.8552681E+03  0.9165718E+03  0.9788602E+03  0.1042372E+04  0.1107427E+04  0.1174409E+04  0.1243748E+04  0.1271980E+04  0.1300918E+04  0.1330581E+04  0.1361054E+04
           81  0.5442521E+03  0.5716654E+03  0.5991919E+03  0.6264481E+03  0.6529591E+03  0.7209619E+03  0.7871954E+03  0.8523827E+03  0.9172926E+03  0.9825476E+03  0.1048689E+04  0.1116254E+04  0.1185848E+04  0.1258217E+04  0.1283764E+04  0.1310073E+04  0.1336990E+04  0.1364565E+04
           82  0.5534556E+03  0.5727063E+03  0.5918722E+03  0.6107645E+03  0.6290727E+03  0.7082069E+03  0.7804826E+03  0.8497323E+03  0.9177290E+03  0.9855153E+03  0.1053858E+04  0.1123453E+04  0.1195068E+04  0.1269697E+04  0.1292189E+04  0.1315469E+04  0.1339162E+04  0.1363255E+04
           83  0.5592426E+03  0.5746113E+03  0.5899477E+03  0.6051740E+03  0.6199580E+03  0.7011470E+03  0.7762422E+03  0.8480891E+03  0.9183327E+03  0.9880436E+03  0.1058038E+04  0.1129061E+04  0.1201912E+04  0.1277573E+04  0.1297442E+04  0.1317662E+04  0.1338111E+04  0.1358750E+04
