     X                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
           44  0.2296526E+04  0.2283686E+04  0.2271185E+04  0.2259037E+04  0.2247309E+04  0.2234875E+04  0.2222581E+04  0.2210504E+04  0.2198660E+04  0.2187038E+04  0.2175610E+04  0.2164340E+04  0.2153201E+04  0.2142249E+04  0.2126379E+04  0.2110394E+04  0.2094197E+04  0.2077708E+04
           45  0.2346862E+04  0.2334196E+04  0.2321748E+04  0.2309551E+04  0.2297721E+04  0.2283946E+04  0.2270441E+04  0.2257199E+04  0.2244217E+04  0.2231475E+04  0.2218944E+04  0.2206581E+04  0.2194328E+04  0.2182074E+04  0.2163998E+04  0.2146089E+04  0.2127958E+04  0.2109462E+04
           46  0.2397142E+04  0.2384520E+04  0.2372044E+04  0.2359749E+04  0.2347735E+04  0.2332719E+04  0.2318010E+04  0.2303611E+04  0.2289509E+04  0.2275681E+04  0.2262092E+04  0.2248702E+04  0.2235458E+04  0.2222274E+04  0.2202450E+04  0.2182722E+04  0.2162669E+04  0.2142154E+04
           47  0.2447515E+04  0.2434791E+04  0.2422207E+04  0.2409764E+04  0.2397455E+04  0.2381146E+04  0.2365231E+04  0.2349690E+04  0.2334497E+04  0.2319617E+04  0.2305017E+04  0.2290660E+04  0.2276518E+04  0.2262626E+04  0.2241019E+04  0.2219645E+04  0.2197732E+04  0.2175315E+04
           48  0.2496710E+04  0.2483771E+04  0.2471080E+04  0.2458687E+04  0.2446739E+04  0.2429122E+04  0.2412025E+04  0.2395376E+04  0.2379126E+04  0.2363236E+04  0.2347666E+04  0.2332369E+04  0.2317288E+04  0.2302327E+04  0.2281662E+04  0.2258929E+04  0.2235023E+04  0.2209969E+04
           49  0.2546293E+04  0.2533162E+04  0.2520215E+04  0.2507583E+04  0.2495383E+04  0.2476500E+04  0.2458303E+04  0.2440599E+04  0.2423339E+04  0.2406485E+04  0.2389997E+04  0.2373827E+04  0.2357919E+04  0.2342188E+04  0.2319053E+04  0.2294663E+04  0.2268954E+04  0.2241441E+04
           50  0.2595551E+04  0.2581651E+04  0.2568079E+04  0.2554861E+04  0.2541958E+04  0.2523081E+04  0.2504004E+04  0.2485302E+04  0.2467074E+04  0.2449305E+04  0.2431953E+04  0.2414973E+04  0.2398337E+04  0.2382084E+04  0.2356880E+04  0.2330899E+04  0.2303575E+04  0.2274221E+04
           51  0.2647899E+04  0.2633035E+04  0.2618706E+04  0.2604965E+04  0.2591951E+04  0.2569900E+04  0.2549259E+04  0.2529440E+04  0.2510262E+04  0.2491628E+04  0.2473464E+04  0.2455704E+04  0.2438293E+04  0.2421189E+04  0.2395140E+04  0.2367779E+04  0.2339086E+04  0.2308577E+04
           52  0.2696390E+04  0.2680621E+04  0.2665442E+04  0.2650901E+04  0.2637095E+04  0.2614991E+04  0.2593515E+04  0.2572805E+04  0.2552792E+04  0.2533382E+04  0.2514485E+04  0.2496013E+04  0.2477872E+04  0.2459920E+04  0.2432493E+04  0.2403799E+04  0.2373961E+04  0.2342519E+04
           53  0.2746688E+04  0.2729847E+04  0.2713623E+04  0.2698028E+04  0.2683079E+04  0.2659309E+04  0.2636834E+04  0.2615319E+04  0.2594587E+04  0.2574511E+04  0.2554984E+04  0.2535913E+04  0.2517219E+04  0.2498849E+04  0.2468708E+04  0.2438673E+04  0.2407951E+04  0.2375902E+04
           54  0.2794073E+04  0.2776162E+04  0.2758891E+04  0.2742236E+04  0.2726188E+04  0.2702015E+04  0.2678966E+04  0.2656870E+04  0.2635579E+04  0.2614965E+04  0.2594919E+04  0.2575345E+04  0.2556158E+04  0.2537304E+04  0.2505571E+04  0.2474491E+04  0.2443088E+04  0.2410682E+04
           55  0.2839674E+04  0.2820784E+04  0.2802535E+04  0.2784864E+04  0.2767750E+04  0.2743328E+04  0.2719921E+04  0.2697430E+04  0.2675734E+04  0.2654717E+04  0.2634270E+04  0.2614291E+04  0.2594679E+04  0.2575327E+04  0.2542731E+04  0.2510909E+04  0.2479050E+04  0.2446529E+04
           56  0.2883604E+04  0.2863971E+04  0.2844877E+04  0.2826231E+04  0.2808047E+04  0.2783381E+04  0.2759747E+04  0.2737011E+04  0.2715053E+04  0.2693763E+04  0.2673038E+04  0.2652777E+04  0.2632867E+04  0.2613134E+04  0.2580228E+04  0.2547923E+04  0.2515834E+04  0.2483405E+04
